p,d,q,AIC,BIC
5,0,5,4141.649562099825,4202.889426850138
4,0,5,4144.582250225261,4200.718792913049
2,0,2,4145.746838270748,4176.3667706459055
2,0,5,4147.282656490706,4193.212555053441
3,0,3,4148.240862269724,4189.067438769933
2,0,4,4149.1224148199435,4189.948991320152
4,0,2,4149.1576127055505,4189.984189205759
3,0,4,4149.499780637734,4195.429679200469
4,0,3,4151.161339400957,4197.091237963692
5,0,3,4151.489946814363,4202.523167439625
4,0,4,4152.049372992298,4203.08259361756
3,0,5,4153.1078684886015,4204.141089113863
5,0,1,4162.213160728103,4203.039737228311
4,0,1,4163.75911985031,4199.482374287993
5,0,2,4167.658851348892,4213.588749911627
3,0,1,4170.5901711896695,4201.210103564827
1,0,4,4181.160923413819,4216.884177851502
1,0,5,4181.384983391325,4222.211559891533
5,0,0,4214.493711605728,4250.216966043411
4,0,0,4215.151156719499,4245.771089094656
0,0,2,4217.619102510174,4238.032390760279
0,0,3,4218.3865340967695,4243.9031444094
1,0,2,4218.853218533212,4244.369828845843
2,0,0,4218.908603490815,4239.321891740919
0,0,4,4219.060886750458,4249.680819125615
1,0,3,4219.449028306688,4250.068960681845
3,0,0,4219.980885694973,4245.497496007603
0,0,5,4220.416469971251,4256.139724408934
2,0,1,4220.547972083885,4246.064582396515
5,0,4,4220.8555478715,4276.992090559287
2,0,3,4221.176412748486,4256.899667186169
3,0,2,4222.079295749256,4257.802550186939
1,0,1,4222.8951789662015,4243.308467216306
1,0,0,4226.907331108899,4242.217297296477
0,0,1,4234.345519938588,4249.655486126167
