variable_1,variable_2,correlation,abs_correlation
S_polarity,S_mean,0.9840257309505235,0.9840257309505235
S_polarity,neg_share,-0.8926176468369573,0.8926176468369573
neg_share,S_mean,-0.8905352953454206,0.8905352953454206
S_mean,S_sum,0.8311425291862299,0.8311425291862299
rv_22d,vix,0.8230272792487215,0.8230272792487215
S_polarity,S_sum,0.818275676991858,0.818275676991858
S_polarity,pos_share,0.7789550812314384,0.7789550812314384
S_mean,pos_share,0.7495743327133552,0.7495743327133552
neg_share,S_sum,-0.7314709849803848,0.7314709849803848
S_sum,pos_share,0.6359204312540424,0.6359204312540424
S_sum,n_articles,-0.4768030890925378,0.4768030890925378
neg_share,pos_share,-0.41261240284682443,0.41261240284682443
vix,S_sum,-0.24132365224485966,0.24132365224485966
vix,n_articles,0.21546957183610815,0.21546957183610815
rv_22d,S_sum,-0.18533579034711362,0.18533579034711362
r_t,vix,-0.17543261785434736,0.17543261785434736
vix,S_mean,-0.13647008836671584,0.13647008836671584
r_t,S_sum,0.13585037100087702,0.13585037100087702
rv_22d,n_articles,0.12526266203644518,0.12526266203644518
vix,S_polarity,-0.12353756415100661,0.12353756415100661
rv_22d,S_mean,-0.1230190658697157,0.1230190658697157
rv_22d,S_polarity,-0.1130282562253793,0.1130282562253793
r_t,S_mean,0.10581471539907189,0.10581471539907189
vix,neg_share,0.10440988206327635,0.10440988206327635
vix,pos_share,-0.10438411215861702,0.10438411215861702
rv_22d,neg_share,0.10247634926681484,0.10247634926681484
r_t,S_polarity,0.10142427405513804,0.10142427405513804
r_t,pos_share,0.09488318809321902,0.09488318809321902
rv_22d,pos_share,-0.08583874760704333,0.08583874760704333
r_t,neg_share,-0.07911805908418888,0.07911805908418888
r_t,n_articles,-0.05726261824312468,0.05726261824312468
n_articles,pos_share,-0.04763066834786658,0.04763066834786658
neg_share,n_articles,-0.027477235835730227,0.027477235835730227
S_polarity,n_articles,-0.004657095723543115,0.004657095723543115
rv_22d,r_t,0.0025309552021916958,0.0025309552021916958
S_mean,n_articles,-0.0021458870838300826,0.0021458870838300826
rv_22d,rv_22d,,
r_t,rv_22d,,
r_t,r_t,,
vix,rv_22d,,
vix,r_t,,
vix,vix,,
S_polarity,rv_22d,,
S_polarity,r_t,,
S_polarity,vix,,
S_polarity,S_polarity,,
neg_share,rv_22d,,
neg_share,r_t,,
neg_share,vix,,
neg_share,S_polarity,,
neg_share,neg_share,,
S_mean,rv_22d,,
S_mean,r_t,,
S_mean,vix,,
S_mean,S_polarity,,
S_mean,neg_share,,
S_mean,S_mean,,
S_sum,rv_22d,,
S_sum,r_t,,
S_sum,vix,,
S_sum,S_polarity,,
S_sum,neg_share,,
S_sum,S_mean,,
S_sum,S_sum,,
n_articles,rv_22d,,
n_articles,r_t,,
n_articles,vix,,
n_articles,S_polarity,,
n_articles,neg_share,,
n_articles,S_mean,,
n_articles,S_sum,,
n_articles,n_articles,,
pos_share,rv_22d,,
pos_share,r_t,,
pos_share,vix,,
pos_share,S_polarity,,
pos_share,neg_share,,
pos_share,S_mean,,
pos_share,S_sum,,
pos_share,n_articles,,
pos_share,pos_share,,
